td,SP500
2013-02-18,0
2013-02-19,0.0073364973
2013-02-20,-0.012404143999999999
2013-02-21,-0.006303072
2013-02-22,0.0087724924
2013-02-25,-0.018309593
2013-02-26,0.006109476
2013-02-27,0.012725949
2013-02-28,-8.640885e-4
2013-03-01,0.0023238659
2013-03-04,0.004610777
2013-03-05,0.0095660686
2013-03-06,0.0010845661
2013-03-07,0.0018165111999999999
2013-03-08,0.0044811964
2013-03-11,0.0032490492
2013-03-12,-0.0024032593
2013-03-13,0.001314044
2013-03-14,0.005602956
2013-03-15,-0.0016184449
2013-03-18,-0.00551033
2013-03-19,-0.0024225116
2013-03-20,0.006697535500000001
2013-03-21,-0.008282423
2013-03-22,0.0071742535
2013-03-25,-0.0033400655000000003
2013-03-26,0.007785082
2013-03-27,-5.8835745e-4
2013-03-28,0.004056692
2013-03-29,0
2013-04-01,-0.004473567
2013-04-02,0.005172252699999999
2013-04-03,-0.010546148
2013-04-04,0.0040484667
2013-04-05,-0.0042948723
2013-04-08,0.0063027143
2013-04-09,0.0035443306000000003
2013-04-10,0.01218915
2013-04-11,0.0035521984
2013-04-12,-0.002836764
2013-04-15,-0.022966266000000003
2013-04-16,0.014307259999999999
2013-04-17,-0.014327705
2013-04-18,-0.0067009926
2013-04-19,0.008847952
2013-04-22,0.0046616793
2013-04-23,0.01041925
2013-04-24,6.3180923e-6
2013-04-25,0.0040347576
2013-04-26,-0.0018421412000000001
2013-04-29,0.007186055
2013-04-30,0.0024849176
2013-05-01,-0.0093078613
2013-05-02,0.009407997
2013-05-03,0.010534644
2013-05-06,0.0019078254999999999
2013-05-07,0.0052303076
2013-05-08,0.0041390657
2013-05-09,-0.0036870837
2013-05-10,0.0043216944
2013-05-13,4.2915344e-5
2013-05-14,0.010142207
2013-05-15,0.0051140785
2013-05-16,-0.0050097703999999995
2013-05-17,0.01030004
2013-05-20,-7.076263400000001e-4
2013-05-21,0.0017223358
2013-05-22,-0.008273661
2013-05-23,-0.0029238462
2013-05-24,-5.5134296e-4
2013-05-27,0
2013-05-28,0.006340980499999999
2013-05-29,-0.007048011
2013-05-30,0.0036703348
2013-05-31,-0.014307259999999999
2013-06-03,0.0059360266
2013-06-04,-0.0055108069999999995
2013-06-05,-0.01377976
2013-06-06,0.008490324
2013-06-07,0.012831569000000001
2013-06-10,-3.4683943e-4
2013-06-11,-0.010153353
2013-06-12,-0.008369565
2013-06-13,0.014784336
2013-06-14,-0.005885005
2013-06-17,0.007567405699999999
2013-06-18,0.0077911615
2013-06-19,-0.013851464
2013-06-20,-0.025010347
2013-06-21,0.0026698112000000003
2013-06-24,-0.012145042
2013-06-25,0.009497285
2013-06-26,0.0095905066
2013-06-27,0.006199837000000001
2013-06-28,-0.0042895675
2013-07-01,0.005403757
2013-07-02,-5.4490566e-4
2013-07-03,8.240938000000001e-4
2013-07-04,0
2013-07-05,0.010201693000000001
2013-07-08,0.005251527000000001
2013-07-09,0.007229686
2013-07-10,1.8155575e-4
2013-07-11,0.013554215000000001
2013-07-12,0.0030864477
2013-07-15,0.0013748407000000002
2013-07-16,-0.0037087798
2013-07-17,0.0027740002
2013-07-18,0.005033016
2013-07-19,0.0016100406999999999
2013-07-22,0.0020329952
2013-07-23,-0.0018519163
2013-07-24,-0.0038112402
2013-07-25,0.0025564432
2013-07-26,8.282661400000001e-4
2013-07-29,-0.0037360189999999997
2013-07-30,3.7384033e-4
2013-07-31,-1.3643503e-4
2013-08-01,0.012540579000000001
2013-08-02,0.0016404389999999998
2013-08-05,-0.0014798641
2013-08-06,-0.005723059
2013-08-07,-0.0038058757999999996
2013-08-08,0.0038855076
2013-08-09,-0.0035699606
2013-08-12,-0.00115293264
2013-08-13,0.0027760267
2013-08-14,-0.0051766040000000004
2013-08-15,-0.01428163
2013-08-16,-0.0033046007
2013-08-19,-0.005900323400000001
2013-08-20,0.0038212538
2013-08-21,-0.005779624
